"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
71.0,70.22636046815639,42.0,110.35166866627814,55.49449593058581,82.0,0.005,81
150.0,153.07930874955483,95.49953339043371,212.4286488344616,133.2389064904885,173.51607860019755,0.015,152
128.0,132.44773767071607,88.72730184230504,184.79445482747326,117.18607777658568,146.96793164203706,0.025,163
84.0,83.3533728737756,51.04246537577585,119.51162312557219,73.0,94.0,0.035,67
50.0,50.66627114470923,28.123926351888677,79.0,38.0,61.0,0.045,55
35.0,33.17087574400524,15.985332672065487,50.2328445678555,25.0,39.0,0.055,27
20.0,21.59700241156146,9.0,40.55777636061823,16.53123468169292,26.0,0.065,28
13.0,14.559973402403626,3.3963590282635048,32.057163541180195,10.0,19.0,0.075,13
8.0,9.417859496979869,1.1964449932978385,23.0,6.0,13.0,0.085,3
7.0,7.391233970359671,1.0,15.0,4.0,11.0,0.095,3
6.0,6.668727343257239,1.0,16.673274150145723,3.337101452487371,9.0,0.105,4
5.0,5.4231751429503685,0.0,17.623526410432337,3.0,7.0,0.115,5
4.0,5.161775378255684,0.310225137703942,15.785917527483642,2.0,6.0,0.125,1
3.0,5.262037245648145,0.0,21.735216499243442,2.0,6.0,0.135,3
4.0,4.670288417729249,0.0,10.674648216778385,2.0,7.0,0.145,3
5.0,5.448222459535952,0.0,13.155470306322654,2.0,8.0,0.155,3
6.0,7.490865166057197,0.0,18.0,3.9621116896680353,10.301921489301083,0.165,9
8.0,9.901734455779673,1.0,26.0,5.0,13.0,0.175,17
12.0,14.131822440032398,2.932151718602316,33.678433337652734,8.0,19.0,0.185,14
18.0,19.124476713812168,4.0,38.087767799344526,13.738391990652424,25.0328541337377,0.195,31
22.0,22.893632378213322,10.20788595917499,40.95145365911342,18.0,27.0,0.205,27
24.0,23.863052549244447,12.0,39.40320557076233,19.0,28.0,0.215,31
23.0,24.610041295161366,14.0,38.11335684391624,20.0,28.0,0.225,22
21.0,22.604850936139,6.45973250190443,40.65448474632566,15.937129993802893,29.696625647982103,0.235,14
16.0,18.594465827755386,6.0,40.0,11.0,25.0,0.245,12
13.0,14.713414521065543,4.0,32.0,8.0,21.0,0.255,20
