"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
75.0,74.19471447644509,39.849136385747514,111.60490669475905,56.90702050689756,87.70039026902593,0.005,81
159.0,157.29331855412772,100.26555493626584,206.42424750262649,137.97166568228738,184.305567986856,0.015,152
142.0,139.5952028851165,96.19367795875208,179.73166912732958,127.69314139252252,154.0,0.025,163
87.0,86.17467950217065,57.68217986894422,117.0,76.0,96.1204111092711,0.035,67
49.0,49.48196438336869,27.950304299082685,73.91877397600996,39.0,57.0,0.045,55
29.0,29.77217690149684,17.0,49.0,26.0,34.0,0.055,27
17.0,17.795367604847467,8.0,32.32043816618491,15.0,20.0,0.065,28
12.0,12.908259854135895,5.006166917707272,22.803830053592876,10.0,16.0,0.075,13
10.0,9.417130758905845,1.3054887402954611,17.19946726347169,4.0,14.0,0.085,3
7.0,6.956178889079019,2.0,16.0,5.0,8.0,0.095,3
6.0,6.480630830529634,0.0,12.707099506534355,4.0,8.0,0.105,4
5.0,5.341941658533309,0.318528399227335,11.462823697380468,3.0,8.0,0.115,5
3.0,3.529174854011259,0.0,9.09486197101787,1.0,5.0,0.125,1
3.0,3.5401872189672416,0.5843180927115909,8.956119697390415,2.0,5.0,0.135,3
2.0,3.5022000395995696,0.0,12.0,1.0,5.0,0.145,3
5.0,5.390966530645574,0.0,13.0,3.0,7.0,0.155,3
10.0,9.089925405582472,1.3611298749749334,19.5325447400121,5.0,11.609055461731158,0.165,9
14.0,14.063623303115012,3.0,25.87579809946041,9.0,18.0,0.175,17
18.0,18.591997213426165,4.164695463211467,31.738294281326592,13.586061901441226,24.0,0.185,14
22.0,22.101780797392063,8.485712743021356,36.0,17.0,27.52043878856664,0.195,31
25.0,24.551925321796514,11.0,37.07543803657292,20.0,30.0,0.205,27
26.0,24.865809390382726,9.208169040051622,36.6918752101816,20.0,29.0,0.215,31
23.0,22.08040944885958,9.317440420228285,39.06018862183293,17.0,27.0,0.225,22
17.0,18.252186091985205,5.575553832960702,32.0,13.367140182731925,23.0,0.235,14
13.0,14.274486781233277,6.0,29.0,8.0,18.332439814904156,0.245,12
11.0,12.063911250597313,3.278206867672627,26.126971553611245,8.0,15.189066228830955,0.255,20
8.0,8.470077129797975,3.0,15.13505985993043,6.0,10.0,0.265,6
9.0,9.916554952385242,2.0,24.04911196835123,5.412810603716131,12.0,0.275,11
11.0,11.650391014002851,3.0,21.634239271850166,6.6779817071594945,16.670557794037823,0.285,10
16.0,15.87093069246584,7.175730024170943,29.41566295516828,11.0,19.0,0.295,17
22.0,23.1916043905633,10.0,43.0,15.0,32.0,0.305,22
31.0,30.3602905347804,15.73420532797821,42.0,23.57062425812589,36.0,0.315,30
37.0,37.76196109168051,22.36799005526124,52.50284957609259,31.0,45.327739136274786,0.325,32
45.0,43.68597508716658,30.0,55.0,39.0,47.0,0.335,40
45.0,44.42026187876294,30.5168838303581,60.33915748805268,39.0,51.0,0.345,37
41.0,41.75624508505668,31.631167375649852,54.780589231836,35.0,46.0,0.355,44
34.0,34.951739808581564,23.01089146402618,49.299055838461264,27.883738278628854,40.0,0.365,43
23.0,23.16031582391643,10.241690616400378,37.41265174070094,19.0,29.0,0.375,23
15.0,15.051782247298537,3.48052941286461,27.717863206531128,10.0,20.17056218683891,0.385,19
9.0,10.062501698058922,3.9378816577451135,18.0,8.0,12.0,0.395,10
4.0,4.457310711229774,0.0,13.0,2.0,6.0,0.405,4
2.0,2.1000600866006742,0.0,5.471740560490927,0.7003533703068864,3.0,0.415,1
1.0,0.9441401911453565,0.0,3.0,0.0,1.0,0.425,1
0.0,0.3998013117010547,0.0,2.741381151031406,0.0,1.0,0.435,0
0.0,0.17044270379404572,0.0,1.0474896303229058,0.0,0.0,0.445,0
0.0,0.040795962576794,0.0,1.0,0.0,0.0,0.455,0
0.0,0.0,0.0,0.0,0.0,0.0,0.465,0
0.0,0.0,0.0,0.0,0.0,0.0,0.475,0
0.0,0.0,0.0,0.0,0.0,0.0,0.485,0
0.0,0.0,0.0,0.0,0.0,0.0,0.495,0
0.0,0.0,0.0,0.0,0.0,0.0,0.505,0
0.0,0.0,0.0,0.0,0.0,0.0,0.515,0
0.0,0.0,0.0,0.0,0.0,0.0,0.525,0
0.0,0.0,0.0,0.0,0.0,0.0,0.535,0
0.0,0.0,0.0,0.0,0.0,0.0,0.545,0
0.0,0.0,0.0,0.0,0.0,0.0,0.555,0
0.0,0.0,0.0,0.0,0.0,0.0,0.565,0
0.0,0.0,0.0,0.0,0.0,0.0,0.575,0
0.0,0.0,0.0,0.0,0.0,0.0,0.585,0
0.0,0.0,0.0,0.0,0.0,0.0,0.595,0
0.0,0.0,0.0,0.0,0.0,0.0,0.605,0
0.0,0.0,0.0,0.0,0.0,0.0,0.615,0
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0
0.0,0.0,0.0,0.0,0.0,0.0,0.635,0
0.0,0.0,0.0,0.0,0.0,0.0,0.645,0
0.0,0.0,0.0,0.0,0.0,0.0,0.655,0
0.0,0.0,0.0,0.0,0.0,0.0,0.665,0
0.0,0.0,0.0,0.0,0.0,0.0,0.675,0
0.0,0.0,0.0,0.0,0.0,0.0,0.685,0
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,0
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,0
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
